name,url,language,description
helmet,https://github.com/helmetjs/helmet,JavaScript,Help secure Express apps with various HTTP headers
How-To-Secure-A-Linux-Server,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server,,An evolving how-to guide for securing a Linux server.
httpie,https://github.com/jakubroztocil/httpie,Python,"As easy as httpie /aitch-tee-tee-pie/ 🥧 Modern command line HTTP client – user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.  https://twitter.com/clihttp"
hug,https://github.com/hugapi/hug,Python,"Embrace the APIs of the future. Hug aims to make developing APIs as simple as possible, but no simpler."
hugo,https://github.com/gohugoio/hugo,Go,The world’s fastest framework for building websites.
influxdb,https://github.com/influxdata/influxdb,Go,"Scalable datastore for metrics, events, and real-time analytics"
istio,https://github.com/istio/istio,Go,"Connect, secure, control, and observe services."
javascript-decorators,https://github.com/wycats/javascript-decorators,,
Javascript-the-Good-Parts-notes,https://github.com/dwyl/Javascript-the-Good-Parts-notes,,":book: Notes on the seminal ""Javascript the Good Parts: byDouglas Crockford"
JavaScript30,https://github.com/wesbos/JavaScript30,HTML,30 Day Vanilla JS Challenge
joint,https://github.com/clientIO/joint,JavaScript,JavaScript diagramming library
js-sequence-diagrams,https://github.com/bramp/js-sequence-diagrams,JavaScript,Draws simple SVG sequence diagrams from textual representation of the diagram
jsplumb,https://github.com/jsplumb/jsplumb,JavaScript,Visual connectivity for webapps
keras,https://github.com/keras-team/keras,Python,Deep Learning for humans
kivy,https://github.com/kivy/kivy,Python,"Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS"
koa-tut,https://github.com/DarthOstrich/koa-tut,JavaScript,
kubernetes,https://github.com/kubernetes/kubernetes,Go,Production-Grade Container Scheduling and Management
learn-json-web-tokens,https://github.com/dwyl/learn-json-web-tokens,JavaScript,:closed_lock_with_key: Learn how to use JSON Web Token (JWT) to secure your next Web App! (Tutorial/Example with Tests!!)
libreact,https://github.com/streamich/libreact,TypeScript,Collection of useful React components
lodash,https://github.com/lodash/lodash,JavaScript,"A modern JavaScript utility library delivering modularity, performance, & extras."
lorca,https://github.com/zserge/lorca,Go,Build cross-platform modern desktop apps in Go + HTML5
Mailpile,https://github.com/mailpile/Mailpile,Python,"A free & open modern, fast email client with user-friendly encryption and privacy features"
Mask_RCNN,https://github.com/matterport/Mask_RCNN,Python,Mask R-CNN for object detection and instance segmentation on Keras and TensorFlow
matplotlib,https://github.com/matplotlib/matplotlib,Python,matplotlib: plotting with Python
mermaid,https://github.com/knsv/mermaid,JavaScript,Generation of diagram and flowchart from text in a similar manner as markdown
mezzanine,https://github.com/stephenmcd/mezzanine,Python,CMS framework for Django
models,https://github.com/tensorflow/models,Python,Models and examples built with TensorFlow
moleculer,https://github.com/moleculerjs/moleculer,JavaScript,:rocket: Progressive microservices framework for Node.js
moment-range,https://github.com/rotaready/moment-range,JavaScript,Fancy date ranges for Moment.js
mxstbr.com,https://github.com/mxstbr/mxstbr.com,JavaScript,The source for my personal website
nest,https://github.com/nestjs/nest,TypeScript,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀"
NewsBlur,https://github.com/samuelclay/NewsBlur,Python,NewsBlur is a personal news reader that brings people together to talk about the world. A new sound of an old instrument.
next.js,https://github.com/zeit/next.js,JavaScript,The React Framework
nivo,https://github.com/plouc/nivo,JavaScript,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries"
node-red,https://github.com/node-red/node-red,JavaScript,A visual tool for wiring the Internet of Things
nodebestpractices,https://github.com/i0natan/nodebestpractices,JavaScript,:white_check_mark: The largest Node.js best practices list (July 2019)
nodereact2,https://github.com/shaikhsmsuss/nodereact2,JavaScript,
office-ui-fabric-react,https://github.com/OfficeDev/office-ui-fabric-react,TypeScript,React components for building Microsoft web experiences.
onionshare,https://github.com/micahflee/onionshare,Python,Securely and anonymously send and receive files
